satellite_number,alt_km,size_range,days,err_km
3164,887.8610658374719,5-10cm,10.22871758101991,3421.5624674969336
3164,887.8610658374719,5-10cm,10.302069907406414,3469.9747905500667
3164,887.8610658374719,5-10cm,10.928156296296253,3897.37681414551
3164,887.8610658374719,5-10cm,11.082468657408048,3993.9304235178324
3164,887.8610658374719,5-10cm,11.302405138890501,4149.151942634417
3164,887.8610658374719,5-10cm,12.22959075231519,4822.660449574525
3164,887.8610658374719,5-10cm,12.857336365740608,5308.044479592857
3164,887.8610658374719,5-10cm,12.934044791666997,5361.4171886910535
3164,887.8610658374719,5-10cm,13.006976203703218,5417.43815637491
3164,887.8610658374719,5-10cm,13.23027548611164,5595.853333037116
3164,887.8610658374719,5-10cm,13.856618067130999,6105.465040935184
3164,887.8610658374719,5-10cm,13.93381915509149,6160.886826326684
3164,887.8610658374719,5-10cm,14.9337214699084,6994.7786200089695
3164,887.8610658374719,5-10cm,15.230101817128835,7252.937539693828
3164,887.8610658374719,5-10cm,15.933761412037743,7854.132396946696
3164,887.8610658374719,5-10cm,16.157359004630536,8054.636187202094
3164,887.8610658374719,5-10cm,16.237379143519533,8144.619926861439
3164,887.8610658374719,5-10cm,16.856785451389023,8666.59057025145
3164,887.8610658374719,5-10cm,17.93706479166669,9608.797962509689
3164,887.8610658374719,5-10cm,18.15703010416693,9808.81847074207
3164,887.8610658374719,5-10cm,18.230362199073035,9876.873698567924
3164,887.8610658374719,5-10cm,19.237045648147664,10759.456087843097
3164,887.8610658374719,5-10cm,20.237252187499845,11581.93423854269
3164,887.8610658374719,5-10cm,21.861917546297665,12752.776610167053
3164,887.8610658374719,5-10cm,22.15944156249916,12969.816097014014
3164,887.8610658374719,5-10cm,22.86186637731614,13384.022199630224
3164,887.8610658374719,5-10cm,23.15800774305507,13563.695374630246
3164,887.8610658374719,5-10cm,23.861967430556263,13901.21100219438
3164,887.8610658374719,5-10cm,24.158592986111287,14040.036704631644
3164,887.8610658374719,5-10cm,25.158003553240388,14366.131130086345
3164,887.8610658374719,5-10cm,25.86359197916808,14492.082092951536
3164,887.8610658374719,5-10cm,26.15856592592542,14520.36832595515
3164,887.8610658374719,5-10cm,26.864597430554806,14513.651983987775
3164,887.8610658374719,5-10cm,27.16567140046369,14474.33456419103
3164,887.8610658374719,5-10cm,27.71289449074202,14375.018844287342
3164,887.8610658374719,5-10cm,27.790199305555888,14347.3189758031
3164,887.8610658374719,5-10cm,27.86378184027694,14323.026695058741
3164,887.8610658374719,5-10cm,28.165573310184257,14205.25321416543
3164,887.8610658374719,5-10cm,28.37204145833298,14126.645034072366
3164,887.8610658374719,5-10cm,28.79011357638847,13941.161077360095
3164,887.8610658374719,5-10cm,28.864211840279125,13896.405087274708
3164,887.8610658374719,5-10cm,29.16773474537112,13695.214811521073
3164,887.8610658374719,5-10cm,29.790025601853376,13284.537090262838
3267,1995.3279211753659,5-10cm,0.511825486112524,7.654816803423231
3267,1995.3279211753659,5-10cm,0.599290717591842,10.813347787410605
3267,1995.3279211753659,5-10cm,1.3176065856494286,41.443339128331395
3267,1995.3279211753659,5-10cm,1.5693611226865538,62.1798038832693
3267,1995.3279211753659,5-10cm,1.8355021064811283,83.55283950125845
3267,1995.3279211753659,5-10cm,2.0300680787033505,87.62700638722575
3267,1995.3279211753659,5-10cm,2.541195185184479,155.92770632438044
3267,1995.3279211753659,5-10cm,3.001539016203196,184.41159929381965
3267,1995.3279211753659,5-10cm,3.5078708449088865,288.3997420834923
3267,1995.3279211753659,5-10cm,3.9751744675939835,309.0146819704751
